episode,player,total_reward,steps_played,won
0_W,W,995.0,17.0,W
0_B,B,-53.0,63.0,W
1_W,W,990.0,20.0,W
1_B,B,2.0,6.0,W
2_W,W,2.0,8.0,B
2_B,B,1000.0,10.0,B
3_W,W,989.0,21.0,W
3_B,B,-9.0,17.0,W
4_W,W,995.0,17.0,W
4_B,B,-5.0,15.0,W
5_W,W,998.0,12.0,W
5_B,B,-2.0,10.0,W
6_W,W,-3.0,13.0,B
6_B,B,991.0,19.0,B
7_W,W,1000.0,12.0,W
7_B,B,-6.0,16.0,W
8_W,W,1.0,7.0,B
8_B,B,984.0,24.0,B
9_W,W,1003.0,9.0,W
9_B,B,-7.0,17.0,W
10_W,W,992.0,18.0,W
10_B,B,-31.0,39.0,W
11_W,W,993.0,17.0,W
11_B,B,-6.0,14.0,W
12_W,W,993.0,17.0,W
12_B,B,-5.0,13.0,W
13_W,W,-1006.0,16.0,B
13_B,B,-3.0,11.0,B
14_W,W,1.0,5.0,B
14_B,B,1000.0,6.0,B
15_W,W,1.0,7.0,B
15_B,B,999.0,9.0,B
16_W,W,979.0,29.0,W
16_B,B,-13.0,19.0,W
17_W,W,-1.0,9.0,B
17_B,B,1001.0,7.0,B
18_W,W,3.0,7.0,B
18_B,B,1001.0,9.0,B
19_W,W,-3.0,15.0,B
19_B,B,994.0,18.0,B
20_W,W,-999.0,9.0,B
20_B,B,-7.0,15.0,B
21_W,W,-1011.0,21.0,B
21_B,B,-22.0,30.0,B
22_W,W,2.0,8.0,B
22_B,B,995.0,15.0,B
23_W,W,6.0,6.0,B
23_B,B,1003.0,9.0,B
24_W,W,-1.0,9.0,B
24_B,B,995.0,13.0,B
25_W,W,972.0,38.0,W
25_B,B,-18.0,26.0,W
26_W,W,-7.0,19.0,B
26_B,B,996.0,16.0,B
27_W,W,983.0,27.0,W
27_B,B,1.0,7.0,W
28_W,W,996.0,18.0,W
28_B,B,-1.0,13.0,W
29_W,W,981.0,33.0,W
29_B,B,-6.0,18.0,W
30_W,W,990.0,24.0,W
30_B,B,-7.0,19.0,W
31_W,W,-1009.0,21.0,B
31_B,B,1.0,9.0,B
32_W,W,981.0,33.0,W
32_B,B,-3.0,15.0,W
33_W,W,1001.0,7.0,W
33_B,B,-1.0,7.0,W
34_W,W,991.0,17.0,W
34_B,B,-1.0,7.0,W
35_W,W,-2.0,14.0,B
35_B,B,999.0,13.0,B
36_W,W,-1.0,11.0,B
36_B,B,1001.0,9.0,B
37_W,W,996.0,16.0,W
37_B,B,4.0,6.0,W
38_W,W,1001.0,9.0,W
38_B,B,-3.0,11.0,W
39_W,W,-9.0,21.0,B
39_B,B,995.0,17.0,B
40_W,W,996.0,12.0,W
40_B,B,1.0,5.0,W
41_W,W,1003.0,7.0,W
41_B,B,-22.0,30.0,W
42_W,W,2.0,12.0,B
42_B,B,999.0,15.0,B
43_W,W,1000.0,8.0,W
43_B,B,-3.0,9.0,W
44_W,W,985.0,27.0,W
44_B,B,1.0,9.0,W
45_W,W,989.0,23.0,W
45_B,B,3.0,7.0,W
46_W,W,-1004.0,14.0,B
46_B,B,-4.0,12.0,B
47_W,W,999.0,9.0,W
47_B,B,-3.0,9.0,W
48_W,W,980.0,32.0,W
48_B,B,-16.0,26.0,W
49_W,W,0.0,10.0,B
49_B,B,993.0,17.0,B
